"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","학교구분","학년구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지주소","모집시작일","모집종료일"
"1 ","서울특별시 양천구청","일반장학금","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","○ 중위소득이 100%이내인 자","○ 중학생 30만원 고등학생 60만원","○ 중학생 및 고등학생","○ 공고일 기준 양천구 관내에 1년 이상 거주하고 있는 고등학생(주민등록 기준)","○ 전체 지급계획 고려해 선발○ 우선순위는 중위소득 낮은/ 한부모/ 다자녀/ 양천구 거주기간","○ 중학생 30명 고등학생 50명 (예정)","○ 2025년 국가 또는 타 지방자치단체 민간단체 등(교내 장학금 포함)으로부터 장학금을 받았거나 받을 예정인 자○ 장학금 종류 중 한가지 분야만 신청가능하며 장학생 신청은 1가구 당 1명에 한함※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 주소 관할 동주민센터 동장 추천","○ 장학금 신청서 및 개인정보제공동의서○ 초본○ 동장 추천서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.yangcheon.go.kr/site/yangcheon/ex/bbs/View.docbIdx=254&bcIdx=299828&parentSeq=299828","2025-09-01","2025-09-19"
"2 ","서울특별시 양천구청","성적우수장학금","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ 직전학기 성적이 재적학년 정원의 100분의 20 이내인 자 ○ 고1 : 절대평가 과목의 80% 이상에서 A등급 취득 상대평가 과목의 평균 1.42등급 이내 취득자 (고교학점제 반영)○ 고2·3 : 직전학기 과목별 '석차등급'의 평균 2.75등급 이내 취득자 (9등급제 반영)","해당없음","○ 1인당 60만원","○ 고등학생","○ 공고일(2025. 8. 11.) 기준 양천구 관내에 1년 이상 거주하고 있는 고등학생(주민등록 기준)","○ 학교별 1명 우선 선정○ 나머지 인원은 수급자·차상위>한부모>다자녀>양천구 거주기간 순위로 전체 지급 계획 내 선발","○ 30명(예정)","○ 2025년 국가 또는 타 지방자치단체·민간단체 등(교내 장학금 포함)으로부터 장학금을 받았거나 받을 예정인 자○ 장학금 종류 중 한가지 분야만 신청 가능하며 장학생 신청은 1가구 당 1명에 한함※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 재학중인 학교장 추천 (양천구 외 관외학교 재학생의 경우 주소지 관할 동장 추천)","○ 장학금 신청서 및 개인정보제공동의서○ 초본 (학생기준 주소이력 포함 주민등록 뒷자리 미포함)○ 학교장 추천서○ 성적증명서○ 수급자·차상위·한부모 가족 증빙서류 (해당사항 있는 경우만 제출)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.yangcheon.go.kr/site/yangcheon/ex/bbs/View.docbIdx=254&bcIdx=299828&parentSeq=299828","2025-09-01","2025-09-19"
"3 ","서울특별시 양천구청","특기장학금","지자체(출자출연기관)","장학금","특기자","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","해당없음","○ 초·중등학생 30만원 고등학생 60만원 ","○ 예술·체육·과학(수학 포함) 분야에서 정부/광역시·도단위 이상 자치단체/전국 교육감 등이 주최·주관하는 광역시·도단위 이상 대회에서 3위권 이내 입상한 자○ 입상실적은 공고일(2025.8.11.) 기준 2년 이내에 입상한 대회","○ 공고일(2025. 8. 11.) 기준 양천구 관내에 1년 이상 거주하고 있는 초·중·고등학생(주민등록 기준)","○ 학교별 1명 우선 선정하되 전체 지급계획 고려해 선발○ 우선순위 : 수급자·차상위/ 한부모/ 다자녀/ 양천구 거주기간","○ 초중등학생 15명 고등학생 5명 (예정) ","○ 2025년 국가 또는 타 지방자치단체·민간단체 등(교내 장학금 포함)으로부터 장학금을 받았거나 받을 예정인 자○ 장학금 종류 중 한가지 분야만 신청 가능하며 장학생 신청은 1가구 당 1명에 한함※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 재학중인 학교장 추천 (양천구 외 관외학교 재학생의 경우 주소지 관할 동장 추천)","○ 장학금 신청서 및 개인정보제공동의서○ 초본 (학생기준 주소이력 포함 주민등록 뒷자리 미포함)○ 학교장 추천서○ 수급자·차상위·한부모 가족 증빙서류 (해당사항 있는 경우만 제출)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.yangcheon.go.kr/site/yangcheon/ex/bbs/View.docbIdx=254&bcIdx=299828&parentSeq=299828","2025-09-01","2025-09-19"
"4 ","재단법인 대전청년내일재단","희망장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고체육고","1학년2학년3학년제한없음","○ 학업성적이 6등급 이내인 고등학생○ 고1의 경우 중학교 3학년 1·2학기 원점수가 기재된 과목들의 평균이 50점 이상인 학생","○ 국민기초생활보장법상 수급자 및 차상위 계층의 자녀(한부모 가정 자녀 포함)","○ 70만원","※ 기관확인필요","○ 현재 대전시에 소재한 고등학교에 재학 중인 학생","○ 직전 1년 학업성적 60%/ 가정형편 40%※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 125명","○ 징계(출석정지 7일 이상)처분 및 타 도시로 전학하였을 때","○ 학교장 추천 필수","○ 장학금 지원 신청서○ 장학생 추천 및 타 장학금 수혜 확인서○ 주민등록등본○ 개인정보 수집이용 제공 및 조회 동의서○ 성적증명서○ 기초생활수급 증명서○ 보호자 통장 사본※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.dhrdf/or.kr/html/kr ","2025-04-07","2025-04-30"
"5 ","(재)옹진군인재육성재단","응원장학금","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","해당없음","○ 연 1회 100만원/생활비성○ 중복 지급 가능※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 옹진군 소재 초·중·고 통합 3년 이상 재학한 자○ 관내 고등학생(또는 보호자)이 질병·실직·폐업·화재·출소·재난 등 경제적 어려움으로 긴급지원이 필요한 자로 현재 긴급한 어려움을 증명할 자료를 제출한 자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 본인 또는 친권자가 선발 공고일 기준 옹진군에 주민등록을 두고 3년 이상 연속적으로 실거주 하고 있는 자","○ 분야별 성적 및 자격 등의 서류심사를 거쳐 재단 이사회에서 종합적인 심의 후 최종 의결 및 선발","○ 7명(초중고 포함 인원)","※ 기관확인필요","해당없음","○ 장학금 지원신청서○ 개인(신용)정보 수집이용제공 및 조회 동의서○ 실거주 확인서○ 서약서○ 주민등록초본○ 가족관계증명서○ 재학증명서○ 생활기록부○ 보통예금 통장사본○ 기타 추가 서류(해당자)○ 긴급지원 입증 관련 서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.ongjin.go.kr","2026-04-20","2026-05-15"
"6 ","(재)인제군장학회","장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ (신입생)최종학력 성적 상위 5% 이내인 자○ (재학생)직전학년의 성적이 학년석차 상위 5% 범위에 해당하는 자(학교별 5명 이내)","해당없음","○ 50만원","○ 관내 고등학교 신입생 및 재학생","○ 신청일 현재 군 관내에 주소를 두고 2년 이상 거주하고 있는 자/ 보호자 중 한 명 이상이 신청일 기준 군 관내에 2년 이상 계속해서 거주※ 자세한 사항은 첨부파일 또는 홈페이지 참고","※ 기관확인필요","○ 예산의 범위 내에서 성적 순 선발※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 인제군 인재육성기금 장학금과의 중복지원 불가○ 편입/ 재입학 등의 사유로 같은 학년을 중복하여 다니게 된 경우 지원받은 학년 중복지급 불가(학년별 1회만 지급)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장 추천","○ 인제군에 2년 이상 거주한 부/모의 주민등록등본○ 통장사본○ 가족관계증명서○ (신입생)고등학교 입학(예정)증명서/성적 입증 가능 서류○ (재학생)재학증명서/성적증명서류○ 학교장 추천서○ 지원서 및 개인정보동의서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.inje.go.kr/portal","2026-01-19","2026-02-27"
"7 ","(재)인제군장학회","저소득주민자녀 장학생(특별)","지자체(출자출연기관)","학자금","해당없음","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","○ 아래 중 하나에 해당*국민기초생활 보장법 제2조제2호의 수급자 및 제2조제10호의 차상위계층*주 소득원의 실업으로 생활이 어려워 긴급 지원을 받는 가구","○ 50만원","○ 전국규모의 예체능계 경연대회에서 3위 이내 입상자○ 군민 제안 채택 창안자로 선정된 사람○ 현저희 타의 모범이 될 만한 선행으로 상장을 수여 받은 자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 공고일 및 신청일 기준 현재 관내에 주소를 두고 본인 또는 부양의무자중 한 명 이상이 실제 거주하는 자","○ 신청자 중 생계/의료급여 수급 가구의 자녀를 우선선발 후 성적순으로 선발","※ 기관확인필요","※ 기관확인필요","해당없음","○ 장학금 신청서○ 개인정보제공 및 활용동의서○ 통장사본○ 기타 장학금 종류에 따른 증빙 서류 (성적증명서/재학증명서/추천서 등)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.inje.go.kr","2026-04-29","2026-05-15"
"8 ","우리다문화장학재단","특기장학","기타","장학금","특기자","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","해당없음","○ 500만원","○ 특기 및 재능 보유 다문화가족 자녀(8세~34세 : 1993년생~2019년생)○ 예체능 및 어학 특기자/자격기술보유자/직업·진로 특기자 등○ 최근 3년 이내에 전국 규모 이상의 대회 입상실적 또는 이에 상응하는 특기 및 재능 관련 실적자료 제출이 가능해야함○ 학교 재학여부 관계없음(졸업생 및 학교 밖 청소년 신청가능)","해당없음","○ 서류평가 및 역량평가○ 면접 또는 전화 인터뷰(필요시)","○ 40명 ","○ 부모 모두 외국 국적을 가진 가족 및 북한이탈주민 지원불가○ 학업장학과 중복지원 불가능","○ 추천자격에 해당하는 자의 추천 필요○ 추천자격 : 소속학교 학교장/다문화 및 사회 복지기관장/지자체 및 주민센터장/특기재능 관련 전문기관장","○ 장학생 신청서 및 자기소개서○ 재학증명서 또는 재직증명서/졸업증명서 또는 경력증명서○ 장학생 추천서○ 주민등록등본○ 가족관계증명서○ 다문화 학생임을 입증할 수 있는 서류 1부○ 수상 실적 자료 또는 경력 관련 포트폴리오(수상확인서·상장 사본·관련기사 스크랩 등)○ 법정 저소득 증빙서류(해당자)○ 차상위 본인부담경감대상자 증명서(해당자)○ 건강보험자격확인서(해당자)○ 건강보험료 납부확인서(해당자)○ 자원봉사활동 실적확인서(해당자)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.woorifoundation.or.kr","2026-03-23","2026-04-17"
"9 ","봉평태기장학회","일반장학생","기타","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","해당없음","○ 재학생 : 직전학년 성적순위 10% 이내○ 신입생 : 입학 성적순위 10% 이내","해당없음","○ 50만원","○ 2022년 7월 30일 현재까지 보호자의 본적 또는 주소가 봉평면내에 되어 있는 강원도내 고등학교 재학생 및 신입생","○ 본적을 봉평면내에 두고 기준일 현재 주소가 봉평면낸에 3년 이상 거주하고 있는 자○ 단 본적이 타 지역인 자는 5년 이상 거주","○ 예산범위 내 성적순 선발○ 장학이사회 심의 후 개별 통보 예정","※ 기관확인필요","○ 학자금 면제자○ 타장학금 100만원 이상 수혜대상 확정자","해당없음","○ 장학생 지원서 (소정양식/ 봉평면사무소 비치 / 반명함사진)○ 성적증명서 (학교장 발행)○ 장학금(미)수혜 확인서 (학교장 발행)○ 가족관계등록부○ 주민등록 등·초본※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.pc.go.kr/","2023-12-02","2023-12-11"
"10 ","봉평태기장학회","예체능특기생","기타","장학금","특기자","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","해당없음","해당없음","해당없음","※ 기관확인필요","○ 봉평면내 초/중/고 재학생 중 예체능 특기자로서 前학년 도내 1위 및 전국대회 3위 이내 입상자","○ 본적을 봉평면내에 두고 기준일 현재 주소가 봉평면낸에 3년 이상 거주하고 있는 자○ 본적이 타 지역인 자는 5년 이상 거주","○ 예산범위 내 성적순 선발○ 장학이사회 심의 후 개별 통보 예정","○ 00명○ 체육특기생은 3명 이내 선발","○ 학자금 면제자○ 타장학금 일백만원 이상 수혜대상 확정자","해당없음","○ 장학생 지원서 (소정양식/ 봉평면사무소 비치 / 반명함사진)○ 성적증명서 (학교장 발행)○ 장학금(미)수혜 확인서 (학교장 발행)○ 가족관계등록부/ 주민등록 등·초본 각 1부※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.pc.go.kr/","2023-12-02","2023-12-11"
